,Image_ID,Spike Area Manual,Spike Area Automatic,Class
0,A2_MHV_AxA_0001_Ceta_1553_1924,0.0,0.0,mutant
1,A2_MHV_AxA_0001_Ceta_1941_1140,1282.0,1282.0,mutant
2,A2_MHV_AxA_0001_Ceta_208_411,0.0,0.0,mutant
3,A2_MHV_AxA_0001_Ceta_2140_1077,1295.0,1295.0,mutant
4,A2_MHV_AxA_0001_Ceta_3147_589,75.0,75.0,mutant
5,A2_MHV_AxA_0001_Ceta_520_2956,8432.0,8432.0,mutant
6,A2_MHV_AxA_0002_Ceta_1721_2872,1410.0,1613.0,mutant
7,A2_MHV_AxA_0002_Ceta_2065_345,97878.0,97878.0,mutant
8,A2_MHV_AxA_0002_Ceta_2677_3706,2528.0,3932.0,mutant
9,A2_MHV_AxA_0002_Ceta_3031_497,942.0,1096.0,mutant
10,A2_MHV_AxA_0002_Ceta_84_1614,0.0,0.0,mutant
11,A2_MHV_AxA_0003_Ceta_118_2616,68032.0,68032.0,mutant
12,A2_MHV_AxA_0003_Ceta_1488_963,1250.0,1357.0,mutant
13,A2_MHV_AxA_0003_Ceta_2054_3647,0.0,517.0,mutant
14,A2_MHV_AxA_0003_Ceta_2176_321,0.0,4.0,mutant
15,A2_MHV_AxA_0003_Ceta_2509_3060,1564.0,1564.0,mutant
16,A2_MHV_AxA_0003_Ceta_3242_1933,105771.0,68037.0,mutant
17,A2_MHV_AxA_0003_Ceta_3272_1549,79868.0,111303.0,mutant
18,A2_MHV_AxA_0003_Ceta_760_2241,4872.0,4872.0,mutant
19,A2_MHV_AxA_0004_Ceta_0_3161,0.0,0.0,mutant
20,A2_MHV_AxA_0004_Ceta_2014_1539,1805.0,1805.0,mutant
21,A2_MHV_AxA_0004_Ceta_2090_543,4667.0,4786.0,mutant
22,A2_MHV_AxA_0004_Ceta_2499_821,0.0,0.0,mutant
23,A2_MHV_AxA_0004_Ceta_2752_2166,5477.0,5477.0,mutant
24,A2_MHV_AxA_0005_Ceta_230_1857,1509.0,1509.0,mutant
25,A2_MHV_AxA_0005_Ceta_2692_1099,163.0,0.0,mutant
26,A2_MHV_AxA_0005_Ceta_2898_2423,1078.0,1222.0,mutant
27,A2_MHV_AxA_0005_Ceta_2964_1357,189485.0,30883.0,mutant
28,A2_MHV_AxA_0005_Ceta_3009_3450,1276.0,1276.0,mutant
29,A2_MHV_AxA_0005_Ceta_3409_948,0.0,0.0,mutant
30,A2_MHV_AxA_0005_Ceta_578_912,0.0,0.0,mutant
31,A2_MHV_AxA_0006_Ceta_0_1156,128.0,128.0,mutant
32,A2_MHV_AxA_0006_Ceta_0_2015,3739.0,3941.0,mutant
33,A2_MHV_AxA_0006_Ceta_1323_2399,115.0,115.0,mutant
34,A2_MHV_AxA_0006_Ceta_2628_3738,386.0,521.0,mutant
35,A2_MHV_AxA_0006_Ceta_2779_1237,14265.0,14265.0,mutant
36,A2_MHV_AxA_0006_Ceta_3016_2940,4073.0,4272.0,mutant
37,A2_MHV_AxA_0006_Ceta_3148_443,224.0,1846.0,mutant
38,A2_MHV_AxA_0006_Ceta_959_2894,389.0,389.0,mutant
39,A2_MHV_AxA_0007_Ceta_1182_1958,2662.0,2853.0,mutant
40,A2_MHV_AxA_0007_Ceta_1875_3535,1369.0,1369.0,mutant
41,A2_MHV_AxA_0007_Ceta_2592_614,44540.0,5455.0,mutant
42,A2_MHV_AxA_0007_Ceta_2643_1898,0.0,175.0,mutant
43,A2_MHV_AxA_0007_Ceta_3083_3702,3635.0,3732.0,mutant
44,A2_MHV_AxA_0008_Ceta_0_2121,7321.0,8507.0,mutant
45,A2_MHV_AxA_0008_Ceta_2117_2394,5905.0,5905.0,mutant
46,A2_MHV_AxA_0008_Ceta_2870_1798,2476.0,2940.0,mutant
47,A2_MHV_AxA_0008_Ceta_3447_2667,977.0,977.0,mutant
