filepath,class
/home/ascott10/documents/school/capstone/mutant/A2_MHV_AxA_0005_Ceta_578_912.png,mutant
/home/ascott10/documents/school/capstone/mutant/A2_MHV_AxA_0021_Ceta_2087_954.png,mutant
/home/ascott10/documents/school/capstone/mutant/A2_MHV_AxA_0082_Ceta_3176_566.png,mutant
/home/ascott10/documents/school/capstone/mutant/A2_MHV_AxA_0058_Ceta_3477_1554.png,mutant
/home/ascott10/documents/school/capstone/mutant/A2_MHV_AxA_0085_Ceta_1241_3163.png,mutant
/home/ascott10/documents/school/capstone/mutant/A2_MHV_AxA_0075_Ceta_3149_1789.png,mutant
/home/ascott10/documents/school/capstone/mutant/A2_MHV_AxA_0049_Ceta_2764_3091.png,mutant
/home/ascott10/documents/school/capstone/mutant/A2_MHV_AxA_0066_Ceta_263_1311.png,mutant
/home/ascott10/documents/school/capstone/mutant/A2_MHV_AxA_0091_Ceta_2615_3708.png,mutant
/home/ascott10/documents/school/capstone/mutant/A2_MHV_AxA_0024_Ceta_2997_1070.png,mutant
/home/ascott10/documents/school/capstone/mutant/A2_MHV_AxA_0047_Ceta_166_2358.png,mutant
/home/ascott10/documents/school/capstone/mutant/A2_MHV_AxA_0063_Ceta_2114_2132.png,mutant
/home/ascott10/documents/school/capstone/mutant/A2_MHV_AxA_0097_Ceta_3460_1890.png,mutant
/home/ascott10/documents/school/capstone/mutant/A2_MHV_AxA_0040_Ceta_196_2307.png,mutant
/home/ascott10/documents/school/capstone/mutant/A2_MHV_AxA_0084_Ceta_1047_1790.png,mutant
/home/ascott10/documents/school/capstone/mutant/A2_MHV_AxA_0056_Ceta_1551_1822.png,mutant
/home/ascott10/documents/school/capstone/mutant/A2_MHV_AxA_0015_Ceta_1693_3188.png,mutant
/home/ascott10/documents/school/capstone/mutant/A2_MHV_AxA_0010_Ceta_656_2121.png,mutant
/home/ascott10/documents/school/capstone/mutant/A2_MHV_AxA_0049_Ceta_2759_2247.png,mutant
/home/ascott10/documents/school/capstone/mutant/A2_MHV_AxA_0067_Ceta_3027_905.png,mutant
/home/ascott10/documents/school/capstone/mutant/A2_MHV_AxA_0024_Ceta_565_1500.png,mutant
/home/ascott10/documents/school/capstone/mutant/A2_MHV_AxA_0048_Ceta_2476_796.png,mutant
/home/ascott10/documents/school/capstone/mutant/A2_MHV_AxA_0033_Ceta_424_2828.png,mutant
/home/ascott10/documents/school/capstone/mutant/A2_MHV_AxA_0023_Ceta_2522_2445.png,mutant
/home/ascott10/documents/school/capstone/mutant/A2_MHV_AxA_0006_Ceta_0_2015.png,mutant
/home/ascott10/documents/school/capstone/mutant/A2_MHV_AxA_0070_Ceta_436_3196.png,mutant
/home/ascott10/documents/school/capstone/mutant/A2_MHV_AxA_0077_Ceta_2437_2195.png,mutant
/home/ascott10/documents/school/capstone/mutant/A2_MHV_AxA_0053_Ceta_2931_1402.png,mutant
/home/ascott10/documents/school/capstone/mutant/A2_MHV_AxA_0082_Ceta_591_2562.png,mutant
/home/ascott10/documents/school/capstone/mutant/A2_MHV_AxA_0047_Ceta_636_3480.png,mutant
/home/ascott10/documents/school/capstone/mutant/A2_MHV_AxA_0019_Ceta_2956_1156.png,mutant
/home/ascott10/documents/school/capstone/mutant/A2_MHV_AxA_0090_Ceta_413_2724.png,mutant
/home/ascott10/documents/school/capstone/mutant/A2_MHV_AxA_0060_Ceta_2279_2171.png,mutant
/home/ascott10/documents/school/capstone/mutant/A2_MHV_AxA_0008_Ceta_2870_1798.png,mutant
/home/ascott10/documents/school/capstone/mutant/A2_MHV_AxA_0006_Ceta_3148_443.png,mutant
/home/ascott10/documents/school/capstone/mutant/A2_MHV_AxA_0019_Ceta_1607_1333.png,mutant
/home/ascott10/documents/school/capstone/mutant/A2_MHV_AxA_0081_Ceta_3332_2596.png,mutant
/home/ascott10/documents/school/capstone/mutant/A2_MHV_AxA_0022_Ceta_3259_1318.png,mutant
/home/ascott10/documents/school/capstone/mutant/A2_MHV_AxA_0007_Ceta_2592_614.png,mutant
