File_name,Pred_spike_count
A2_MHV_AxA_0010_Ceta_2365_3552,0
A2_MHV_AxA_0049_Ceta_2759_2247,2
MHVWT_A70048_2380_1728,9
A2_MHV_AxA_0019_Ceta_3371_3653,3
A2_MHV_AxA_0039_Ceta_2809_1175,2
MHVWT_A70079_1825_2639,5
A2_MHV_AxA_0009_Ceta_616_1525,0
A2_MHV_AxA_0054_Ceta_550_3156,7
A2_MHV_AxA_0021_Ceta_141_2536,0
A2_MHV_AxA_0095_Ceta_2348_1167,2
A2_MHV_AxA_0094_Ceta_474_1406,5
A2_MHV_AxA_0073_Ceta_1626_1544,2
A2_MHV_AxA_0029_Ceta_1895_685,3
A2_MHV_AxA_0022_Ceta_3259_1318,0
MHVWT_A70005_2124_2247,14
A2_MHV_AxA_0060_Ceta_126_3702,1
MHVWT_A70090_350_957,7
A2_MHV_AxA_0048_Ceta_1303_407,0
A2_MHV_AxA_0045_Ceta_1632_3707,1
MHVWT_A70027_1390_1089,2
MHVWT_A70052_2819_1117,6
A2_MHV_AxA_0060_Ceta_2279_2171,3
MHVWT_A70067_2908_2323,8
A2_MHV_AxA_0087_Ceta_257_3396,1
A2_MHV_AxA_0090_Ceta_1692_2290,1
MHVWT_A70038_1279_3680,12
A2_MHV_AxA_0030_Ceta_2698_3758,0
MHVWT_A70041_3069_1745,4
A2_MHV_AxA_0096_Ceta_3493_1234,1
A2_MHV_AxA_0046_Ceta_919_1979,2
A2_MHV_AxA_0024_Ceta_565_1500,0
A2_MHV_AxA_0028_Ceta_151_3556,2
A2_MHV_AxA_0060_Ceta_838_1423,0
A2_MHV_AxA_0006_Ceta_3148_443,1
A2_MHV_AxA_0055_Ceta_2612_2605,1
A2_MHV_AxA_0044_Ceta_3234_447,2
MHVWT_A70022_28_2640,7
A2_MHV_AxA_0061_Ceta_3007_371,0
MHVWT_A70072_879_1639,2
A2_MHV_AxA_0031_Ceta_540_978,0
MHVWT_A70082_2496_1674,2
MHVWT_A70056_601_1817,4
A2_MHV_AxA_0052_Ceta_3183_1251,1
MHVWT_A70005_0_3316,2
A2_MHV_AxA_0007_Ceta_3083_3702,4
MHVWT_A70003_926_1386,8
A2_MHV_AxA_0066_Ceta_2971_382,1
MHVWT_A70017_3180_2928,3
A2_MHV_AxA_0008_Ceta_879_2414,1
A2_MHV_AxA_0068_Ceta_2721_2434,1
MHVWT_A70070_1613_3696,12
MHVWT_A70027_2291_1039,3
MHVWT_A70086_14_3356,2
A2_MHV_AxA_0013_Ceta_3047_3627,1
MHVWT_A70077_1329_645,4
A2_MHV_AxA_0035_Ceta_692_3419,7
MHVWT_A70080_2496_2294,6
A2_MHV_AxA_0067_Ceta_2254_505,0
A2_MHV_AxA_0053_Ceta_2481_3480,2
A2_MHV_AxA_0070_Ceta_47_3040,5
A2_MHV_AxA_0059_Ceta_3118_1761,1
MHVWT_A70017_0_787,1
MHVWT_A70006_3052_1483,8
MHVWT_A70021_3114_1083,9
A2_MHV_AxA_0085_Ceta_441_3480,0
A2_MHV_AxA_0099_Ceta_858_3268,3
A2_MHV_AxA_0067_Ceta_2293_827,5
A2_MHV_AxA_0053_Ceta_1081_584,3
A2_MHV_AxA_0073_Ceta_1236_3185,1
MHVWT_A70049_912_772,3
A2_MHV_AxA_0080_Ceta_119_2084,4
MHVWT_A70076_1347_323,7
MHVWT_A70074_1134_3502,1
A2_MHV_AxA_0053_Ceta_2102_230,0
A2_MHV_AxA_0092_Ceta_3321_516,2
A2_MHV_AxA_0006_Ceta_1323_2399,1
MHVWT_A70055_1879_3513,4
MHVWT_A70030_2902_3557,1
A2_MHV_AxA_0091_Ceta_1219_1278,4
A2_MHV_AxA_0041_Ceta_2708_1488,1
A2_MHV_AxA_0037_Ceta_3077_3257,1
MHVWT_A70002_0_2828,5
A2_MHV_AxA_0049_Ceta_1874_417,0
A2_MHV_AxA_0093_Ceta_2342_3280,2
A2_MHV_AxA_0020_Ceta_303_433,2
